Name,Cuisine,Location,rating,num_of_rating,price_for_two
The Branch Cafe,"Italian, Asian","South Ex 2, South Extension Ii",,5,800
Old Skool,Beverages,"Gtb Nagar, Gtb Nagar",,5,200
Gourmet Couch By Itc Hotels,"Indian, Italian","South Campus, Chanakyapuri",,5,1000
Negi Dhaba,North Indian,"Lajpat Nagar, Lajpat Nagar",,5,300
Shakes Haveli,"Beverages, Chaat","Vijay Nagar, Kalyan Vihar",,5,150
Yo Yo Momos,Tibetan,"Laxmi Nagar, Geeta Colony",,5,99
Nice Pizza Point,"Pizzas, Fast Food","Shahdara, Laxmi Nagar",,5,300
Yo Anna Food,"South Indian, Beverages","South Campus, R.K Puram",,5,300
Yaara Di Kitchen,"Indian, Chinese","Mayur Vihar, Mayur Vihar",,5,299
Rdx Reloaded,"Indian, Chinese","Safdarjung Enclave, Safdarjung Enclave",,5,500
Food Time,"Chinese, Indian","Mayur Vihar, Mayur Vihar",,5,200
Kitchen 65,"Fast Food, Snacks","Laxmi Nagar, Laxmi Nagar",,5,200
Sandwich Mcenza!,"Fast Food, Snacks","Ashok Vihar, Ashok Vihar",,5,150
Puranidelhi6Zaika Mughlai Foods,"North Indian, Chinese","Ashok Vihar, Ashok Vihar",,5,250
O Pizza,Pizzas,"Mayur Vihar, Mayur Vihar",,5,200
Funky Paratha,"North Indian, Indian","Laxmi Nagar, Laxmi Nagar",,5,250
Dady Cool Shake & Ice Cream Parlour,"Ice Cream, Desserts","Gtb Nagar, Gtb Nagar",,5,200
The Branch Cafe,"Italian, Asian","South Ex 2, South Extension Ii",,5,800
Old Skool,Beverages,"Gtb Nagar, Gtb Nagar",,5,200
Gourmet Couch By Itc Hotels,"Indian, Italian","South Campus, Chanakyapuri",,5,1000
Negi Dhaba,North Indian,"Lajpat Nagar, Lajpat Nagar",,5,300
Sugar Room,"Bakery, Desserts","Lajpat Nagar, Lajpat Nagar",,5,200
Apna Chulha,"Indian, Thalis","Mayur Vihar, Mayur Vihar",,5,280
Momo Mom By Oriental Mom,"Pan-Asian, Tibetan","Mayur Vihar, Mayur Vihar",,5,400
Golgapppag,"Chaat, Snacks","Mayur Vihar, Mayur Vihar",,5,240
Desi Kulfi,"Ice Cream, Desserts","Ashok Vihar, Ashok Vihar",,5,200
Optimum Tasty Bite,"Fast Food, Italian","Laxmi Nagar, Laxmi Nagar",,5,200
Cream & Berry - Premium Ice Cream,"Bakery, Ice Cream","Ashok Vihar, Ashok Vihar",,5,200
Biryani By Kimo,Biryani,"Mayur Vihar, Mayur Vihar",,5,450
Singh Chicken Corner,Indian,"Kirti Nagar, Kirti Nagar",,5,200
Manisha'S Bakery 24X7,"Bakery, Desserts","Laxmi Nagar, Laxmi Nagar",,5,250
Ohb Pizza,Pizzas,"Laxmi Nagar, Geeta Colony",,5,200
Optimum Quick Bites,"Indian, Pizzas","Laxmi Nagar, Geeta Colony",,5,250
Curries And Tikkaas,"Indian, Chinese","Greater Kailash 2, Lajpat Nagar",,5,400
The Chaap Street,North Indian,"Lajpat Nagar, Lajpat Nagar",,5,300
Choco Crave,Closes Soonbakery,"Lajpat Nagar, Lajpat Nagar",,5,500
Kurry Kingdom,"North Indian, Burgers","Gtb Nagar, Gtb Nagar",,5,150
Golgapppag,"Chaat, Snacks","Mayur Vihar, Mayur Vihar",,5,240
Desi Kulfi,"Ice Cream, Desserts","Ashok Vihar, Ashok Vihar",,5,200
Optimum Tasty Bite,"Fast Food, Italian","Laxmi Nagar, Laxmi Nagar",,5,200
Cream & Berry - Premium Ice Cream,"Bakery, Ice Cream","Ashok Vihar, Ashok Vihar",,5,200
Biryani By Kimo,Biryani,"Mayur Vihar, Mayur Vihar",,5,450
Singh Chicken Corner,Indian,"Kirti Nagar, Kirti Nagar",,5,200
Manisha'S Bakery 24X7,"Bakery, Desserts","Laxmi Nagar, Laxmi Nagar",,5,250
Ohb Pizza,Pizzas,"Laxmi Nagar, Geeta Colony",,5,200
Optimum Quick Bites,"Indian, Pizzas","Laxmi Nagar, Geeta Colony",,5,250
Curries And Tikkaas,"Indian, Chinese","Greater Kailash 2, Lajpat Nagar",,5,400
The Chaap Street,North Indian,"Lajpat Nagar, Lajpat Nagar",,5,300
Choco Crave,Closes Soonbakery,"Lajpat Nagar, Lajpat Nagar",,5,500
Kurry Kingdom,"North Indian, Burgers","Gtb Nagar, Gtb Nagar",,5,150
Optimum Hunger Bites,Pizzas,"Laxmi Nagar, Geeta Colony",,5,200
Standard Cake Shop,"Bakery, Fast Food","Baljeet Nagar, Baljeet Nagar",,5,350
Punjabi Cafe,"North Indian, Chinese","Metro Polex Mall, Swasthya Vihar",,5,400
Singh Chicken Corner,Indian,"Kirti Nagar, Kirti Nagar",,5,200
Manisha'S Bakery 24X7,"Bakery, Desserts","Laxmi Nagar, Laxmi Nagar",,5,250
Ohb Pizza,Pizzas,"Laxmi Nagar, Geeta Colony",,5,200
Optimum Quick Bites,"Indian, Pizzas","Laxmi Nagar, Geeta Colony",,5,250
Curries And Tikkaas,"Indian, Chinese","Greater Kailash 2, Lajpat Nagar",,5,400
The Chaap Street,North Indian,"Lajpat Nagar, Lajpat Nagar",,5,300
Kurry Kingdom,"North Indian, Burgers","Gtb Nagar, Gtb Nagar",,5,150
Optimum Hunger Bites,Pizzas,"Laxmi Nagar, Geeta Colony",,5,200
Standard Cake Shop,"Bakery, Fast Food","Baljeet Nagar, Baljeet Nagar",,5,350
Punjabi Cafe,"North Indian, Chinese","Metro Polex Mall, Swasthya Vihar",,5,400
Idiot Cakes,Bakery,"Laxmi Nagar, Laxmi Nagar",,5,400
Mealful Rolls - Meals In A Roll,"Fast Food, North Indian","Laxmi Nagar, Laxmi Nagar",,5,250
Pizza Lover,"Pizzas, Fast Food","Shakarpur Delhi, Laxmi Nagar",,5,600
Fuel Juice Bar,"Juices, Beverages","Hauz Khas, South-Extension Part 2",,5,200
Murthal Xpress,"North Indian, Tandoor","Laxmi Nagar, Laxmi Nagar",,5,400
Ice Cream House,"Ice Cream, Biryani","Mayur Vihar, Mayur Vihar",,5,300
Bba Fast Food Wala,"Chinese, Fast Food","Lajpat Nagar, Lajpat Nagar",,5,150
The Royal Biryani,Biryani,"Patel Nagar, West Patel Nagar",,5,500
Sethi'S Restaurant,"North Indian, Chinese","Lajpat Nagar, Lajpat Nagar",,5,350
Maa Ki Khichdi,"North Indian, Healthy Food","South Extension, South Extension",,5,250
Jenny'S Brownies,"Bakery, Desserts","South Extension, South Extension",,5,250
Miami Shakes & More,"Desserts, Beverages","South Extension, South Extension",,5,200
Prija Cafe (Helly And Chilly),"Fast Food, Pizzas","South Extension, South Extension",,5,150
Givown Foods,Chinese,"Lajpat Nagar, Greater Kailash 2",,5,200
Satvik Rasoi,Indian,"Laxmi Nagar, Laxmi Nagar",,5,220
Kumar'S Annapurna,"North Indian, Chinese","Sher Singh Bazar, Delhi",,5,250
Cake N Pastries,Bakery,"Dr. Ambedkar Road, Kirti Nagar",,5,200
Burger Town,"Beverages, Continental","Laxmi Nagar, Laxmi Nagar",,5,400
Sardar Ji Maggie Wale,"Fast Food, Pizzas","Laxmi Nagar, Laxmi Nagar",,5,400
Food Porn,"Chinese, Fast Food","South Campus, South Campus",,5,300
Luminous Wok,Chinese,"South Campus, South Campus",,5,250
Dragonfly China,"Chinese, Fast Food","South Campus, South Campus",,5,250
Jenny'S Brownies,"Bakery, Desserts","South Extension, South Extension",,5,250
Miami Shakes & More,"Desserts, Beverages","South Extension, South Extension",,5,200
Prija Cafe (Helly And Chilly),"Fast Food, Pizzas","South Extension, South Extension",,5,150
Givown Foods,Chinese,"Lajpat Nagar, Greater Kailash 2",,5,200
Satvik Rasoi,Indian,"Laxmi Nagar, Laxmi Nagar",,5,220
Kumar'S Annapurna,"North Indian, Chinese","Sher Singh Bazar, Delhi",,5,250
Cake N Pastries,Bakery,"Dr. Ambedkar Road, Kirti Nagar",,5,200
Burger Town,"Beverages, Continental","Laxmi Nagar, Laxmi Nagar",,5,400
Sardar Ji Maggie Wale,"Fast Food, Pizzas","Laxmi Nagar, Laxmi Nagar",,5,400
Food Porn,"Chinese, Fast Food","South Campus, South Campus",,5,300
Luminous Wok,Chinese,"South Campus, South Campus",,5,250
Dragonfly China,"Chinese, Fast Food","South Campus, South Campus",,5,250
Cuisine Qi,Chinese,"South Campus, South Campus",,5,250
Gopala,"Sweets, Desserts","Laxmi Nagar, Laxmi Nagar",,5,200
Shinchann Cafe,"Chinese, Fast Food","Lajpat Nagar, Lajpat Nagar",,5,400
Chicago Burger,"Indian, Italian","Laxmi Nagar, Nirman Vihar",,5,150
Pizza Boom,"Opens Next At 2 Pm, Tomorrowitalian, Pizzas","Laxmi Nagar, Laxmi Nagar",,5,400
Vindhwashni Bakers Confectioner & Florist,"Bakery, Desserts","Laxmi Nagar, Laxmi Nagar",,5,300
Shel Food Cafe,"North Indian, Indian","Laxmi Nagar, Laxmi Nagar",,5,200
Mehak Foods,"Indian, Beverages","Laxmi Nagar, Laxmi Nagar",,5,400
Pizza Door,"Italian, Pizzas","Laxmi Nagar, Laxmi Nagar",,5,400
Cake 24X7,Bakery,"Laxmi Nagar, Laxmi Nagar",,5,500
Pizza 7 Days,"Opens Next At 2 Pm, Tomorrowitalian, Pizzas","Laxmi Nagar, Laxmi Nagar",,5,400
Al Amin Chicken And Mutton,"North Indian, Indian","Laxmi Nagar, Laxmi Nagar",,5,400
Big Fat Cafe,"Opens Next At 2 Pm, Tomorrowitalian, Pizzas","Laxmi Nagar, Laxmi Nagar",,5,400
Rashid Biryani Plaza,"Opens Next At 12 Noon, Tomorrowbiryani","Ramesh Park, Laxmi Nagar",,5,200
Hot Chilli Chinese Food,"Chinese, Burgers","Mayur Vihar, Mayur Vihar",,5,300
The Cake Bakery,Bakery,"Laxmi Nagar, Laxmi Nagar",,5,300
Shakes Cyclone,"Italian, Pizzas","Laxmi Nagar, Laxmi Nagar",,5,400
Super Burgers (Exotic And Healthy),Fast Food,"Baljeet Nagar, Baljeet Nagar",,5,250
Coffee Waala,Beverages,"South Extension, South Extension",,5,200
Maggi Hut,"Opens Next At 2 Pm, Tomorrowitalian, Pizzas","Laxmi Nagar, Laxmi Nagar",,5,400
Khan Roll Wala,Snacks,"Mayur Vihar, Mayur Vihar",,5,350
Sardar Ji Meat Wale,North Indian,"Mayur Vihar, Mayur Vihar",,5,300
Hibboz,"Pizzas, Burgers","Mayur Vihar, Mayur Vihar",,5,300
Food Singh - Taste Of Punjab,"North Indian, Fast Food","Laxmi Nagar, Laxmi Nagar",,5,300
Thande Ka Fanda,Beverages,"Lajpatnagar, Lajpat Nagar",,5,300
Vaango,"Indian, Punjabi","Laxmi Nagar, Laxmi Nagar",,5,300
Purewow,"North Indian, South Indian","Mayur Vihar, Mayur Vihar",,5,300
Royal Pizza,"Pizzas, Fast Food","Laxmi Nagar, Laxmi Nagar",,5,400
Burger'S World,"Pizzas, Continental","Laxmi Nagar, Laxmi Nagar",,5,400
The Sandwich Castle,"Snacks, Fast Food","Laxmi Nagar, Nirman Vihar",,5,200
Desi Ghee Ka Khana,"North Indian, Beverages","Bhogal, Lajpat Nagar",,5,150
Veeru Dhaba,North Indian,"Lajpat Nagar 1, Lajpat Nagar",,5,300
Ask Cake Shop,Bakery,"Laxmi Nagar, Laxmi Nagar",,5,350
Vindhwashni Bakers Confectioner & Florist,"Bakery, Desserts","Laxmi Nagar, Laxmi Nagar",,5,300
Shel Food Cafe,"North Indian, Indian","Laxmi Nagar, Laxmi Nagar",,5,200
Mehak Foods,"Indian, Beverages","Laxmi Nagar, Laxmi Nagar",,5,400
Bakery By Foodhall,"Bakery, Desserts","South Campus, Chanakyapuri",,5,250
Swaad Restaurant,North Indian,"Laxmi Nagar, Laxmi Nagar",,5,200
Annapurna Food Corner,"Chinese, Snacks","Laxmi Nagar, Laxmi Nagar",,5,150
Food Paradise,"American, Continental","Ganesh Nagar, Patparganj",,5,500
Pizza Combo,"Opens Next At 2 Pm, Tomorrowitalian, Pizzas","Laxmi Nagar, Laxmi Nagar",,5,400
Monginis,"Bakery, Desserts","Ashok Vihar, Ashok Vihar",,5,300
Sushi And More,Japanese,"South Campus, Chanakyapuri",,5,1000
Xoco Chocolates By Foodhall,Desserts,"South Campus, Chanakyapuri",,5,300
Nanha Punjab,"North Indian, Chinese","Laxmi Nagar, Laxmi Nagar",,5,350
Marwadi Paratha House,"North Indian, Combo","Laxmi Nagar, Laxmi Nagar",,5,250
Shakes N Fries,"Beverages, Snacks","Laxmi Nagar, Laxmi Nagar",,5,300
Chinese Monkey,"Chinese, Pan-Asian","Lajpat Nagar, Lajpat Nagar",,5,200
Chinese Town,"Chinese, Pan-Asian","Lajpat Nagar, Lajpat Nagar",,5,250
The Great Wok Of China,Chinese,"Lajpat Nagar, Lajpat Nagar",,5,300
The Chillout,"Burgers, Chinese","Mayur Vihar, Mayur Vihar",,5,300
Pizza Best,"Opens Next At 11 Am, Tomorrowitalian","South Extension, South Extension I",,5,200
Cafe By Foodhall,"Continental, Desserts","Yashwant Palace, Chanakyapuri",,5,1100
Roll Addiction,Fast Food,"Mayur Vihar, Ganesh Nagar",,5,150
Royce' Chocolate,Desserts,"The Chanakya, Chanakyapuri",,5,750
Romeo Lane,Continental,"Lajpat Nagar, Defence Colony",,5,1000
Bakery By Foodhall,"Bakery, Desserts","South Campus, Chanakyapuri",,5,250
Swaad Restaurant,North Indian,"Laxmi Nagar, Laxmi Nagar",,5,200
Annapurna Food Corner,"Chinese, Snacks","Laxmi Nagar, Laxmi Nagar",,5,150
Food Paradise,"American, Continental","Ganesh Nagar, Patparganj",,5,500
Pizza Combo,"Opens Next At 2 Pm, Tomorrowitalian, Pizzas","Laxmi Nagar, Laxmi Nagar",,5,400
Monginis,"Bakery, Desserts","Ashok Vihar, Ashok Vihar",,5,300
Sushi And More,Japanese,"South Campus, Chanakyapuri",,5,1000
Xoco Chocolates By Foodhall,Desserts,"South Campus, Chanakyapuri",,5,300
Nanha Punjab,"North Indian, Chinese","Laxmi Nagar, Laxmi Nagar",,5,350
Marwadi Paratha House,"North Indian, Combo","Laxmi Nagar, Laxmi Nagar",,5,250
Shakes N Fries,"Beverages, Snacks","Laxmi Nagar, Laxmi Nagar",,5,300
Chinese Monkey,"Chinese, Pan-Asian","Lajpat Nagar, Lajpat Nagar",,5,200
Chinese Town,"Chinese, Pan-Asian","Lajpat Nagar, Lajpat Nagar",,5,250
The Great Wok Of China,Chinese,"Lajpat Nagar, Lajpat Nagar",,5,300
The Chillout,"Burgers, Chinese","Mayur Vihar, Mayur Vihar",,5,300
Pizza Best,"Opens Next At 11 Am, Tomorrowitalian","South Extension, South Extension I",,5,200
Paratha Singh,Indian,"Janakpuri, Janakpuri",,5,100
Wat A Paratha,"North Indian, Indian","Janakpuri, Janakpuri",,5,100
Midnight Paratha Junction,"North Indian, Indian","Janakpuri, Janakpuri",,5,100
Takeout Cafe,"Cafe, Snacks","Lajpat Nagar, Lajpat Nagar",,5,250
Love At First Bite,Desserts,"Lajpat Nagar, Lajpat Nagar",,5,250
Inox,Snacks,"Delhi Eros Jangpura, Block H",,5,400
Pizza Burger Wala,"Opens Next At 11 Am, Tomorrowitalian","South Extension, South Extension I",,5,200
Hungerfox Foods Private Limited,"Indian, Kebabs","Laxmi Nagar, Laxmi Nagar",,5,150
Make My Thali,"Chinese, Pastas","Laxmi Nagar, Laxmi Nagar",,5,200
Ghar Ka Khana,"North Indian, Punjabi","Laxmi Nagar, Laxmi Nagar",,5,300
Mr Momos,"Chinese, North Indian","Lajpat Nagar, Lajpat Nagar",,5,300
Kcroasters By Koinonia,Beverages,"South Campus, Chanakyapuri",,5,300
Sticky Rice,"Asian, Pan-Asian","South Extension, South Extension",,5,1000
Mannat Restaurant,Indian,"Laxmi Nagar, Laxmi Nagar",,5,200
Indian Flavours Dhaba,"North Indian, Chinese","Mayur Vihar, Mayur Vihar",,5,250
Arya Food & Baker,"Bakery, Italian","South Extension, South Extension",,5,400
House Of Awadh,"Biryani, North Indian","Lajpat Nagar, Lajpat Nagar",,5,600
Mr. Pandit Ji Parantha Hut,North Indian,"Laxmi Nagar, Laxmi Nagar",,5,100
Dirty Dough Pizza By Moets,"Pizzas, Pastas","South Extension, South Extension",,5,500
China Town Sizzlers,"Chinese, Tibetan","Yashwant Place, Chanakyapuri",,5,500
Noto Healthy Ice Cream,"Ice Cream, Desserts","Khan Market, Khan Market",,5,250
Chinese Garden,Chinese,"South Campus, Yashwant Place",,5,300
Golden Dragon,"North Indian, Snacks","Lajpat Nagar, Lajpat Nagar",,5,300
Pizza Like Pizza,"Opens Next At 11 Am, Tomorrownorth Indian, Pizzas","South Extension, South Extension I",,5,200
Pal Refreshment Corner,"North Indian, Chinese","Jangpura Extension Market, New Lajpat Nagar",,5,300
Cyber Food,"North Indian, Chinese","Laxmi Nagar, Laxmi Nagar",,5,200
Radhe Radhe Foods,"Indian, Fast Food","Laxmi Nagar, Laxmi Nagar",,5,200
Yo Paaji Foods,"Indian, Snacks","Laxmi Nagar, Laxmi Nagar",,5,300
Indoo Himalaya Chinese Fast Food,"Chinese, Fast Food","Laxmi Nagar, Laxmi Nagar",,5,180
Pizza Rp,"Pizzas, American","Laxmi Nagar, Shakarpur Khas",,5,200
Singh'S Veg Grill,"Chinese, Punjabi","Laxmi Nagar, Laxmi Nagar",,5,200
Tvf - The Vegan Factory,Indian,"Laxmi Nagar, Laxmi Nagar",,5,300
Good Morning Cafe,"North Indian, Fast Food","Laxmi Nagar, Laxmi Nagar",,5,350
Italy Burger,Fast Food,"Laxmi Nagar, Laxmi Nagar",,5,200
Paaji Tandoori Junction,"North Indian, Chinese","Lajpat Nagar, Lajpat Nagar",,5,300
Singh Fast Food,"Chinese, Fast Food","Laxmi Nagar, Laxmi Nagar",,5,250
Anything But Sugar,"Sweets, Bakery","Defence Colony,Near Twenty Four Seven & Apple Store, South Extension",,5,400
Hungerout Pizza,"Pizzas, Italian","Rohini, Nsp",,5,350
Laguna Sizzlers,"Chinese, Asian","South Campus, Chanakyapuri",,5,300
Agnee Pizza,Pizzas,"Lajpat Nagar, Lajpat Nagar",,5,100
Kulfi Villa,"Beverages, Sweets","Mayur Vihar, Mayur Vihar",,5,150
Sushi Junction,"Sushi, Japanese","Laxmi Nagar, Laxmi Nagar",,5,1100
Chinese Chilli,"Continental, Chinese","Laxmi Nagar, Laxmi Nagar",,5,250
The Food Joint,Fast Food,"Vijay Block, Laxmi Nagar",,5,200
The Chinese Kafei,Chinese,"Vijay Block,Laxminagar, Laxmi Nagar",,5,200
Fruitto Fresh,Beverages,"Lajpat Nagar, Lajpat Nagar",,5,250
Chaap Adda,"North Indian, Chinese","Laxmi Nagar, Laxmi Nagar",,5,250
Daebak Cafe - Delight In Every Bite,Korean,"Laxmi Nagar, Laxmi Nagar",,5,600
Parantha In Desi Ghee,"North Indian, Desserts","Laxmi Nagar, Laxmi Nagar",,5,150
Food Factory,North Indian,"Vijay Block ,Gopala Complex,Laxminagar ,New Delhi, Laxmi Nagar",,5,250
Chineese Dragon,"Chinese, Snacks","Laxmi Nagar, Laxmi Nagar",,5,250
Pizza Indians,"Pizzas, Snacks","Laxmi Nagar, Laxmi Nagar",,5,200
Assam Food Stall,"North Indian, Chinese","South Extension, South Extension",,5,500
Chandni Chowk Paratha Corner,"Indian, Punjabi","Laxmi Nagar, Laxmi Nagar",,5,200
Pizza Junction,"Pizzas, Italian","Lajpat Nagar, Lajpat Nagar",,5,250
Pasta By Eataliano,Pastas,"Nagar, Laxmi",,5,200
Bake N Shake,"Pizzas, Fast Food","Laxmi Nagar, Laxmi Nagar",,5,200
The Cake N Cafe,Bakery,"Laxmi Nagar, Shakarpur Khas",,5,399
The Food Maharaja,"North Indian, Chinese","Laxmi Nagar, Laxmi Nagar",,5,200
The Burger Company,"Burgers, Beverages","Laxmi Nagar, Laxmi Nagar",,5,300
The Pizza Villa,"Pizzas, Burgers","Lajpat Nagar, Lajpat Nagar",,5,250
Quick Pizza,"Italian, Pizzas","Lajpat Nagar, Lajpat Nagar",,5,250
Rock N Roll Pizza,"Pizzas, Burgers","Lajpat Nagar, Lajpat Nagar",,5,250
Spicy Valley,"North Indian, Chinese","Laxmi Nagar, Laxmi Nagar",,5,300
Paddler,"Pizzas, Beverages","Laxmi Nagar, Laxmi Nagar",,5,150
Pizza King,Turkish,"Nagar, Laxmi",,5,200
Pizza Heavens,"Pizzas, Italian","Lajpat Nagar, Lajpat Nagar",,5,250
Mini Cafe,"Italian, Fast Food","Laxmi Nagar, Laxmi Nagar",,5,500
Pandit Ji Paratha Hut,Indian,"Laxmi Nagar, Laxmi Nagar",,5,100
My Punjab,Indian,"South Extension, Hauz Khas",,5,500
Cool Chinese Hut,"Chinese, Snacks","Laxmi Nagar, Laxmi Nagar",,5,200
Simp-Sauce In My Pizza,Fast Food,"Nagar, Laxmi",,5,200
Sizzling Saucers,"Chinese, Fast Food","Laxmi Nagar, Laxmi Nagar",,5,450
Jain'S Pizza Shakarpur,"Pizzas, Italian","Laxmi Nagar, Laxmi Nagar",,5,200
Pizza Delight,Italian,"Lajpat Nagar, Lajpat Nagar",,5,200
Growmor- The Cake Series,Bakery,"Laxmi Nagar, Laxmi Nagar",,5,100
